# TODO(content-review): AI 생성 초안 — human review 필요
# 형식: docs/plans/p3-grammar.md §4~5 및 generate_grammar_seed.py spec 참조
# topic: slug | 제목(한국어) | CEFR | tags(콤마구분) | 설명(2~3문장 한국어)
# 문항: type | prompt | payload | explanation(한국어 1~2문장)
#   word_order  payload = 정답 영어 문장 (칩은 공백 분리, 끝 구두점은 answer에만 유지)
#   blank_choice/error_find payload = 보기1;보기2;...=정답보기

topic: present-perfect | 현재완료 | A2 | tense | 과거에 시작해 지금까지 이어지거나 영향을 주는 일은 현재완료(have/has + p.p.)로 나타낸다. 기간은 for, 시점은 since와 함께 쓰고, 구체적 과거 시점(yesterday 등)과는 함께 쓰지 않는다.
word_order | 그는 여기서 5년째 일해 왔다. | He has worked here for five years. | has worked — 현재완료 + for + 기간으로 지속을 나타낸다.
error_find | 틀린 부분을 고르세요: She is a honest manager. | She is;a;honest;manager=a | honest는 모음 소리로 시작하므로 an을 써야 한다.
error_find | 틀린 부분을 고르세요: He gave me an useful tip. | He gave me;an;useful;tip=an | useful은 '유'로 자음 소리라서 a를 써야 한다.
error_find | 틀린 부분을 고르세요: I saw a moon last night. | I saw;a;moon;last night=a | 달은 세상에 하나뿐인 대상이므로 the moon으로 써야 한다.

topic: countable-uncountable | 셀 수 있는 명사와 없는 명사 | A2 | grammar-articles | 셀 수 있는 명사는 복수형이 가능하고 many와 함께 쓰며, 셀 수 없는 명사는 단수 취급하고 much와 함께 쓴다. 양을 말할 때는 some, a lot of 등을 활용한다.
word_order | 책상 위에 많은 정보가 있다. | There is much information on the desk. | information은 불가산명사라 much와 함께 쓴다.
word_order | 우리는 약간의 조언이 필요하다. | We need a little advice. | advice는 불가산명사라 a little과 함께 쓴다.
word_order | 회의에 많은 사람들이 왔다. | Many people came to the meeting. | people은 가산명사라 many와 함께 쓴다.
blank_choice | How ___ money do you have? | much;many;few=much | money는 불가산명사라 much를 쓴다.
blank_choice | There aren't ___ chairs in the room. | many;much;little=many | chairs는 가산명사라 many를 쓴다.
blank_choice | I'd like some ___ , please. | water;waters;a water=water | water는 불가산명사라 복수형을 쓰지 않는다.
blank_choice | She gave me a useful ___ . | piece of advice;advices;advice piece=piece of advice | advice는 불가산이라 a piece of advice로 센다.
error_find | 틀린 부분을 고르세요: I have many homeworks tonight. | I have;many;homeworks;tonight=homeworks | homework는 불가산명사라 복수형 homeworks가 없다.
error_find | 틀린 부분을 고르세요: How much books did you buy? | How;much;books;did you buy=much | books는 가산명사라 much가 아니라 many를 써야 한다.
error_find | 틀린 부분을 고르세요: We made a good progress today. | We made;a;good progress;today=a | progress는 불가산명사라 부정관사 a를 붙일 수 없다.

topic: comparatives | 비교급과 최상급 | A2 | comparison | 두 대상을 비교할 때는 비교급(-er 또는 more)에 than을 쓰고, 셋 이상에서 가장 ~한 것은 최상급(-est 또는 most)에 the를 붙인다. 음절이 긴 형용사는 more/most를 쓴다.
word_order | 이 가방이 저것보다 더 비싸다. | This bag is more expensive than that. | expensive는 긴 형용사라 more를 쓰고 than으로 비교한다.
word_order | 그녀는 반에서 가장 키가 크다. | She is the tallest in her class. | 최상급 tallest 앞에는 the를 붙인다.
word_order | 오늘이 어제보다 더 춥다. | Today is colder than yesterday. | cold의 비교급은 colder이고 than과 함께 쓴다.
blank_choice | This phone is ___ than mine. | cheaper;cheapest;more cheap=cheaper | 둘을 비교하므로 비교급 cheaper를 쓴다.
blank_choice | It was the ___ day of the year. | hottest;hotter;most hot=hottest | hot의 최상급은 자음을 겹쳐 hottest이다.
blank_choice | Her idea is ___ interesting than his. | more;most;much=more | interesting은 긴 형용사라 비교급에 more를 쓴다.
blank_choice | He runs ___ than his brother. | faster;fastest;more fast=faster | fast의 비교급은 faster이다.
error_find | 틀린 부분을 고르세요: This box is more heavier than that one. | This box is;more;heavier;than that one=more | heavier가 이미 비교급이므로 more를 함께 쓰면 안 된다.
error_find | 틀린 부분을 고르세요: She is the most tall student. | She is;the;most tall;student=most tall | tall은 짧은 형용사라 최상급이 tallest이다.
error_find | 틀린 부분을 고르세요: My car is faster as yours. | My car is;faster;as;yours=as | 비교급 뒤에는 as가 아니라 than을 써야 한다.

topic: prepositions-time | 시간 전치사 | A2 | prepositions | 시각·구체적 시점에는 at, 요일·날짜에는 on, 월·연도·계절처럼 긴 기간에는 in을 쓴다. 마감이나 기한을 말할 때는 by와 until을 구별해 쓴다.
word_order | 회의는 오전 9시에 시작한다. | The meeting starts at nine. | 정확한 시각 앞에는 at을 쓴다.
word_order | 우리는 월요일에 출발한다. | We leave on Monday. | 요일 앞에는 on을 쓴다.
word_order | 그는 5월에 입사했다. | He joined the company in May. | 월 앞에는 in을 쓴다.
blank_choice | The store opens ___ 8 a.m. | at;on;in=at | 정확한 시각 앞에는 at을 쓴다.
blank_choice | Her birthday is ___ April. | in;on;at=in | 월 앞에는 in을 쓴다.
blank_choice | Please submit the form ___ Friday. | by;until;since=by | '~까지(완료 기한)'는 by를 쓴다.
blank_choice | We met ___ the morning of July 3rd. | on;in;at=on | 특정 날짜의 아침에는 on을 쓴다.
error_find | 틀린 부분을 고르세요: The class begins in 10 o'clock. | The class begins;in;10;o'clock=in | 정확한 시각 앞에는 in이 아니라 at을 써야 한다.
error_find | 틀린 부분을 고르세요: I will call you on the evening. | I will call you;on;the;evening=on | the evening 앞에는 in을 써야 한다.
error_find | 틀린 부분을 고르세요: She was born on 1995. | She was born;on;1995;=on | 연도 앞에는 on이 아니라 in을 써야 한다.

topic: prepositions-place | 장소 전치사 | A2 | prepositions | 넓은 공간이나 도시·나라 안에는 in, 표면 위나 거리·층에는 on, 특정 지점에는 at을 쓴다. 위치 관계를 정확히 나타내려면 전치사 선택이 중요하다.
word_order | 내 열쇠들이 저 탁자 위에 있다. | My keys are on that table. | 표면 위에는 on을 쓴다.
word_order | 그녀는 부산에 산다. | She lives in Busan. | 도시 안에는 in을 쓴다.
word_order | 우리는 정류장에서 만났다. | We met at the bus stop. | 특정 지점 앞에는 at을 쓴다.
blank_choice | The picture is ___ the wall. | on;in;at=on | 벽 표면에 붙은 것은 on을 쓴다.
blank_choice | He is waiting ___ the station. | at;on;into=at | 특정 장소(지점) 앞에는 at을 쓴다.
blank_choice | There is some milk ___ the fridge. | in;on;at=in | 내부 공간 안에는 in을 쓴다.
blank_choice | My office is ___ the third floor. | on;in;at=on | 층 앞에는 on을 쓴다.
error_find | 틀린 부분을 고르세요: She is sitting in the chair near me. | She is sitting;in;the chair;near me=in | 의자에 앉을 때는 on the chair를 쓴다.
error_find | 틀린 부분을 고르세요: They arrived to the airport late. | They arrived;to;the airport;late=to | arrive 다음에는 to가 아니라 at을 써야 한다.
error_find | 틀린 부분을 고르세요: I left my bag on the taxi. | I left my bag;on;the;taxi=on | 택시 같은 작은 차량 안에는 in을 써야 한다.

topic: future-will-going-to | 미래 will과 be going to | A2 | tense | 말하는 순간 결정한 일이나 단순 예측에는 will을, 이미 정해진 계획이나 근거 있는 예측에는 be going to를 쓴다. 두 표현 모두 미래를 나타내지만 뉘앙스가 다르다.
word_order | 내가 문을 열어 줄게. | I will open the door. | 그 자리에서 즉흥적으로 결정한 일에는 will을 쓴다.
word_order | 우리는 다음 달에 이사할 예정이다. | We are going to move next month. | 이미 정해진 계획에는 be going to를 쓴다.
word_order | 그녀는 의사가 될 것이다. | She is going to be a doctor. | 의도나 계획을 말할 때 be going to를 쓴다.
blank_choice | Look at those clouds! It ___ rain. | is going to;will;would=is going to | 눈앞의 근거가 있는 예측에는 be going to를 쓴다.
blank_choice | The phone is ringing. I ___ answer it. | will;am going to;was going to=will | 방금 결정한 행동에는 will을 쓴다.
blank_choice | They ___ visit their grandparents tomorrow. | are going to;will being;going=are going to | 이미 계획된 일에는 be going to를 쓴다.
blank_choice | I think it ___ be sunny this weekend. | will;is going;going to=will | 단순한 생각·예측에는 will을 쓴다.
error_find | 틀린 부분을 고르세요: We will to start the project soon. | We;will;to start;the project=to start | will 다음에는 to 없이 동사원형 start를 쓴다.
error_find | 틀린 부분을 고르세요: She is going visit Paris in June. | She is;going;visit;Paris=going | be going 다음에는 to visit처럼 to가 필요하다.
error_find | 틀린 부분을 고르세요: Look out! You will fall down the stairs. | Look out;You;will;fall=will | 눈앞의 위험을 보고 하는 예측에는 are going to가 자연스럽다.

topic: modal-can-could | 조동사 can과 could | A2 | modals | can은 현재의 능력·허락·가능성을, could는 과거의 능력이나 더 공손한 요청·가능성을 나타낸다. 조동사 뒤에는 항상 동사원형을 쓴다.
word_order | 그녀는 세 가지 언어를 말할 수 있다. | She can speak three languages. | 현재의 능력에는 can + 동사원형을 쓴다.
word_order | 제가 창문을 열어도 될까요? | Could I open the window? | 공손한 허락 요청에는 could를 쓴다.
word_order | 나는 어릴 때 빨리 달릴 수 있었다. | I could run fast as a child. | 과거의 능력에는 could를 쓴다.
blank_choice | ___ you help me with this box? | Could;Can to;Could to=Could | 공손한 부탁에는 Could를 쓰고 뒤에 동사원형이 온다.
blank_choice | He ___ swim when he was five. | could;can;cans=could | 과거의 능력에는 could를 쓴다.
blank_choice | We ___ finish the work by Friday. | can;could to;can to=can | can 다음에는 동사원형 finish가 온다.
blank_choice | ___ I borrow your pen for a second? | Can;Can to;Could to=Can | 일상적인 허락 요청에는 Can을 쓰고 뒤에 동사원형이 온다.
error_find | 틀린 부분을 고르세요: She can speaks four languages. | She;can;speaks;four languages=speaks | 조동사 can 다음에는 동사원형 speak를 써야 한다.
error_find | 틀린 부분을 고르세요: Could you to pass the salt? | Could;you;to pass;the salt=to pass | could 다음에는 to 없이 동사원형 pass를 쓴다.
error_find | 틀린 부분을 고르세요: I can to drive a truck now. | I;can;to drive;a truck=to drive | can 다음에는 to 없이 동사원형 drive를 쓴다.

topic: present-continuous | 현재진행형 | A2 | tense | 지금 진행 중인 동작이나 일시적인 상황은 현재진행형(be동사 + 동사ing)으로 나타낸다. like, know처럼 상태를 나타내는 동사는 보통 진행형으로 쓰지 않는다.
word_order | 그녀는 지금 점심을 먹고 있다. | She is eating lunch now. | 지금 진행 중인 동작에는 be + -ing를 쓴다.
word_order | 그들은 새 사무실을 짓고 있다. | They are building a new office. | 진행 중인 동작에는 are building을 쓴다.
word_order | 나는 다음 주에 친구를 만날 것이다. | I am meeting a friend next week. | 정해진 가까운 미래 약속도 현재진행형으로 표현한다.
blank_choice | He ___ watching TV right now. | is;are;am=is | 3인칭 단수 주어 He에는 is를 쓴다.
blank_choice | We are ___ for the bus. | waiting;wait;waits=waiting | 진행형은 be 다음에 동사ing 형태를 쓴다.
blank_choice | They ___ working on the report at the moment. | are;is;be=are | 복수 주어 They에는 are를 쓴다.
blank_choice | Listen! Someone ___ knocking on the door. | is;are;does=is | someone은 단수 취급이라 is를 쓴다.
error_find | 틀린 부분을 고르세요: I am know the answer now. | I;am know;the answer;now=am know | know는 상태동사라 진행형으로 쓰지 않고 I know로 쓴다.
error_find | 틀린 부분을 고르세요: She is study English these days. | She;is;study;English=study | 진행형은 be 다음에 동사ing(studying)를 써야 한다.
error_find | 틀린 부분을 고르세요: They is having a meeting now. | They;is;having;a meeting=is | 복수 주어 They에는 is가 아니라 are를 써야 한다.
