# TODO(content-review): AI 생성 초안 — human review 필요

topic: modal-should-must | 조동사 should/must | A2 | modals | should는 충고나 권유를, must는 강한 의무나 확신을 나타냅니다. 뒤에는 항상 동사원형이 옵니다.
blank_choice | You ___ see a doctor if you feel sick. | should;must to;shoulds=should | should 뒤에는 동사원형이 와야 하며 to를 붙이지 않습니다.
word_order | 그녀는 결코 늦지 않는다. | She is never late. | be동사 is 뒤에 빈도 부사 never가 옵니다.
error_find | 틀린 부분을 고르세요: I go always to school by bus. | I;go always;to school;by bus=go always | 빈도 부사 always는 일반동사 go 앞에 와야 하므로 어순이 틀렸습니다.
error_find | 틀린 부분을 고르세요: She always is kind to everyone. | She;always is;kind;to everyone=always is | be동사 문장에서는 always가 is 뒤에 와야 하므로 어순이 틀렸습니다.

topic: too-enough | too / enough | A2 | comparison | too는 형용사 앞에서 '너무 ~한'을, enough는 형용사 뒤에서 '충분히 ~한'을 나타냅니다. too는 부정적 의미, enough는 충분함을 표현합니다.
blank_choice | This coffee is ___ hot to drink. | too;enough;very much=too | '너무 뜨거워서 못 마신다'는 too + 형용사로 표현합니다.
blank_choice | She is old ___ to drive a car. | enough;too;so=enough | '충분히 ~한'은 형용사 뒤에 enough를 씁니다.
blank_choice | He isn't tall ___ to reach the shelf. | enough;too;very=enough | enough는 형용사 tall 뒤에 와서 충분함을 나타냅니다.
blank_choice | The box is ___ heavy for me to carry. | too;enough;more=too | '너무 무거운'은 too + 형용사로 표현합니다.
blank_choice | Are you warm ___ now? | enough;too;so=enough | enough는 형용사 warm 뒤에 와서 충분함을 나타냅니다.
word_order | 그 셔츠는 나에게 너무 작다. | The shirt is too small for me. | too는 형용사 small 앞에서 '너무 ~한'을 나타냅니다.
word_order | 그는 그 일을 할 만큼 충분히 강하다. | He is strong enough for the job. | enough는 형용사 strong 뒤에 위치합니다.
word_order | 이 물은 마시기에 충분히 깨끗하다. | This water is clean enough to drink. | enough는 형용사 clean 뒤에 와서 충분함을 표현합니다.
error_find | 틀린 부분을 고르세요: She is enough old to vote. | She;is;enough old;to vote=enough old | enough는 형용사 뒤에 와야 하므로 old enough가 맞습니다.
error_find | 틀린 부분을 고르세요: It is too much cold to go outside. | It;is;too much cold;to go outside=too much cold | 형용사 앞에는 too much가 아니라 too만 써서 too cold가 맞습니다.

topic: used-to | used to | A2 | tense | used to는 과거에 습관적으로 했지만 지금은 하지 않는 일을 나타냅니다. 뒤에는 항상 동사원형이 오며 부정은 didn't use to입니다.
blank_choice | I ___ live in London when I was young. | used to;use to;am used to=used to | 과거의 습관을 나타낼 때는 used to + 동사원형을 씁니다.
blank_choice | She used to ___ long hair. | have;has;having=have | used to 뒤에는 동사원형 have가 옵니다.
blank_choice | He ___ smoke, but he quit last year. | used to;use to;is used to=used to | 과거에 했던 일을 나타내므로 used to를 씁니다.
blank_choice | They didn't ___ to like vegetables. | use;used;using=use | 부정문에서는 didn't use to 형태로 use를 씁니다.
blank_choice | ___ you use to play soccer? | Did;Do;Were=Did | 의문문에서는 Did + 주어 + use to 형태를 씁니다.
word_order | 나는 매일 우유를 마시곤 했다. | I used to drink milk every day. | used to + 동사원형 drink로 과거 습관을 나타냅니다.
word_order | 그녀는 발레를 배우곤 했다. | She used to learn ballet. | 과거의 습관을 used to learn으로 표현합니다.
word_order | 우리는 그곳에 자주 가곤 했다. | We used to go there often. | used to 뒤에 동사원형 go가 와서 과거 습관을 나타냅니다.
error_find | 틀린 부분을 고르세요: I used to played the piano as a child. | I;used to;played;as a child=played | used to 뒤에는 동사원형 play가 와야 하므로 played가 틀렸습니다.
error_find | 틀린 부분을 고르세요: She didn't used to eat breakfast. | She;didn't;used to;eat breakfast=used to | 부정문에서는 did와 함께 use to를 써야 하므로 used to가 틀렸습니다.
